Key*,total,data
1,1009.02,2015-02-22
2,821.58,2015-03-30
3,656.25,2015-05-17
4,695.32,2015-09-14
5,916.57,2015-10-08
6,1002.9,2015-11-01
7,910.78,2015-11-25
8,1035.26,2015-12-19
9,1029.47,2016-01-12
10,1028.39,2016-02-29
11,862.47,2016-03-24
12,952,2016-04-05
13,922.15,2016-04-17
14,866.64,2016-04-29
15,809.45,2016-05-11
16,700.93,2016-05-23
17,677.66,2016-06-04
18,635.79,2016-06-28
19,606.49,2016-07-10
20,592.07,2016-07-22
21,564.77,2016-08-03
22,586.17,2016-08-27
23,614.93,2016-09-08
24,711.7,2016-10-02
25,817.79,2016-10-14
26,878.7,2016-10-26
27,1004.16,2016-11-07
28,1040.63,2016-11-19
29,910.21,2016-12-01
30,1048.34,2016-12-13
31,1020.39,2016-12-25
32,1045.26,2017-01-06
33,1033.93,2017-01-18
34,1007.44,2017-02-11
35,1045.56,2017-03-07
36,1019.87,2017-03-19
37,951.97,2017-03-31
38,942.18,2017-04-12
39,922.84,2017-04-20
40,923.62,2017-04-24
41,904.22,2017-05-02
42,904.26,2017-05-06
43,832.17,2017-05-18
44,815.53,2017-05-26
45,884.44,2017-05-30
46,873.18,2017-06-07
47,853.52,2017-06-11
48,803.76,2017-06-19
49,779.89,2017-07-01
50,738.3,2017-07-05
51,647.42,2017-07-13
52,680.27,2017-07-17
53,609.03,2017-07-25
54,636.15,2017-07-29
55,655.48,2017-08-06
56,684.62,2017-08-10
57,680.11,2017-08-18
58,707.22,2017-08-22
59,725.2,2017-08-30
60,718.34,2017-09-03
61,779.72,2017-09-15
62,801.01,2017-09-23
63,820.07,2017-09-27
64,834.26,2017-10-05
65,918.67,2017-10-09
66,995.28,2017-10-21
67,1044.33,2017-11-02
68,1033.82,2017-11-14
69,1010.53,2017-11-26
70,968.09,2018-01-13
71,1052.77,2018-02-06
72,1010.11,2018-03-02
73,924.36,2018-03-26
74,794.95,2018-04-19
75,723.02,2018-05-09
76,743.29,2018-05-13
77,686.19,2018-05-25
78,619.82,2018-06-02
79,665,2018-06-06
80,616.81,2018-06-14
81,647.92,2018-06-30
82,653.08,2018-08-01
83,706.12,2018-08-17
84,725.18,2018-08-25
85,745.94,2018-08-29
86,775.22,2018-09-06
87,825.31,2018-09-10
88,899.3,2018-09-18
89,925.16,2018-09-22
90,907.54,2018-09-30
91,864.67,2018-10-12
92,1045,2018-10-16
93,999.83,2018-11-09
94,1043.11,2018-11-17
95,1009.99,2018-12-15
96,1023.84,2018-12-23
97,1024.21,2018-12-27
98,1019.26,2019-01-08
99,1033.85,2019-01-20
100,1024.43,2019-02-01
101,943.07,2019-02-25
102,891.33,2019-03-05
103,906.09,2019-03-09
104,866.86,2019-03-21
105,828.6,2019-03-29
106,813.86,2019-04-02
107,767.4,2019-04-14
108,776.81,2019-04-26
109,747.27,2019-05-04
110,718.98,2019-05-16
111,628.95,2019-06-13
112,659.48,2019-06-21
113,634.77,2019-07-07
114,555.95,2019-07-19
115,479.82,2019-07-27
116,410.58,2019-07-31
117,453.65,2019-08-08
118,549.94,2019-08-20
119,533.83,2019-08-24
120,534.56,2019-09-01
121,691.39,2019-09-13
122,1017.831,2019-11-16
123,1022.876,2019-11-22
124,1044.303,2020-01-09
125,1023.639,2020-02-02
126,988.049,2020-02-14
127,957.33,2020-02-20
128,847.817,2020-03-15
129,863.567,2020-03-21
130,839.391,2020-03-27
131,823.162,2020-04-02
132,808.7,2020-04-08
133,788.478,2020-04-14
134,778.144,2020-05-02
135,745.066,2020-05-08
136,696.657,2020-05-20
137,671.741,2020-06-01
138,679.635,2020-06-25
139,677.581,2020-06-27
140,691.326,2020-07-09
141,688.432,2020-07-13
142,690.91,2020-07-19
143,686.623,2020-07-25
144,685.032,2020-07-31
145,725.15,2020-08-06
146,740.057,2020-08-12
147,746.431,2020-08-18
148,752.205,2020-08-24
149,766.626,2020-09-11
150,778.813,2020-09-17
151,740.462,2020-09-19
152,835.266,2020-09-23
153,787.279,2020-10-01
154,952.154,2020-10-05
155,994.176,2020-10-25
156,993.444,2021-02-02
157,981.904,2021-02-10
158,1007.165,2021-02-20
159,844.852,2021-02-22
160,978.401,2021-02-26
161,951.841,2021-03-04
162,869.027,2021-03-06
163,895.808,2021-03-16
164,854.805,2021-03-22
165,851.449,2021-03-28
166,809.6,2021-04-03
167,735.519,2021-04-23
168,741.342,2021-04-27
169,728.759,2021-05-03
170,708.625,2021-05-09
171,692.177,2021-05-15
172,646.04,2021-05-17
173,631.027,2021-05-27
174,594.556,2021-05-29
175,602.06,2021-06-02
176,552.278,2021-06-08
177,555.891,2021-06-20
178,531.163,2021-06-22
179,543.653,2021-06-26
180,519.176,2021-07-02
181,487.618,2021-07-04
182,480.503,2021-07-08
183,439.493,2021-07-14
184,442.266,2021-07-20
185,408.115,2021-07-26
186,348.041,2021-07-28
187,385.622,2021-08-01
188,354.94,2021-08-07
189,318.984,2021-08-09
190,332.153,2021-08-13
191,316.865,2021-08-21
192,321.581,2021-08-25
193,352.647,2021-08-31
194,349.562,2021-09-02
195,399.048,2021-09-06
196,479.423,2021-09-12
197,503.266,2021-09-14
198,568.931,2021-09-18
199,709.101,2021-09-24
200,615.13,2021-09-26
201,775.299,2021-09-30
202,773.971,2021-10-06
203,757.384,2021-10-08
204,899.276,2021-10-12
205,1050.237,2021-10-24
206,892.854,2021-11-01
207,1039.141,2021-11-17
208,1034.241,2021-12-05
209,1045.136,2022-01-04
