Key*,total,data
1,15.73699188,2015-02-22
2,13.5817006,2015-03-30
3,8.312003293,2015-07-04
4,8.782533012,2015-07-28
5,10.03205506,2015-08-21
6,11.29799301,2015-09-14
7,13.73893848,2015-10-08
8,15.43337628,2015-11-01
9,16.45249424,2015-11-25
10,16.23768522,2016-01-12
11,13.20749093,2016-03-24
12,11.48713187,2016-10-14
13,12.82609725,2016-10-26
14,14.30746694,2016-11-07
15,15.13683909,2016-11-19
16,15.74177377,2016-12-01
17,16.00102587,2016-12-13
18,16.74303563,2017-01-18
19,16.52420748,2017-01-30
20,15.99658196,2017-02-11
21,15.50425198,2017-02-23
22,15.47625128,2017-03-07
23,14.97667218,2017-03-19
24,13.7628467,2017-03-31
25,12.44174075,2017-04-12
26,11.52109565,2017-04-24
27,13.10605085,2017-05-06
28,12.01509797,2017-05-18
29,12.16348512,2017-05-26
30,12.4932421,2017-05-30
31,11.7195132,2017-06-07
32,12.90725871,2017-06-11
33,10.86391239,2017-06-19
34,12.55175477,2017-06-23
35,13.08726969,2017-07-05
36,12.80321785,2017-07-13
37,13.49589554,2017-07-17
38,13.33611184,2017-07-25
39,13.3839785,2017-08-10
40,13.85901231,2017-08-22
41,14.57300583,2017-09-15
42,14.36545517,2017-09-27
43,14.4204464,2018-03-02
44,14.88500226,2018-03-26
45,14.35423444,2018-04-07
46,10.51853077,2018-05-13
47,9.897301677,2018-06-02
48,10.30477785,2018-06-06
49,9.449878914,2018-06-14
50,9.582504468,2018-06-26
51,9.583283637,2018-06-30
52,9.962802552,2018-07-12
53,9.66007717,2018-07-20
54,10.32919359,2018-07-24
55,9.013597487,2018-08-01
56,9.96411946,2018-08-05
57,10.55190887,2018-08-17
58,10.15383212,2018-08-25
59,11.05278471,2018-08-29
60,10.08538039,2018-09-06
61,11.23638429,2018-09-10
62,13.22861507,2018-09-30
63,14.91248338,2018-10-04
64,14.76029202,2018-10-16
65,16.03459857,2018-11-09
66,15.08482353,2018-11-17
67,15.85216244,2018-12-23
68,15.78358859,2018-12-27
69,15.6182542,2019-01-08
70,15.31658156,2019-01-20
71,14.26393076,2019-02-13
72,9.800527784,2019-02-21
73,12.677178,2019-03-05
74,12.84348818,2019-03-21
75,10.97663989,2019-03-29
76,12.46176518,2019-04-02
77,8.856334638,2019-04-10
78,11.10252969,2019-04-26
79,8.86446094,2019-05-04
80,9.735255402,2019-05-08
81,8.298640696,2019-05-28
82,10.44087879,2019-06-13
83,9.416876224,2019-07-07
84,7.521055772,2019-07-15
85,8.312178215,2019-07-19
86,8.962409852,2019-07-20
87,7.030604114,2019-07-27
88,6.901822799,2019-07-31
89,6.914069368,2019-08-01
90,9.884345413,2019-08-08
91,11.89428282,2019-08-12
92,12.07270581,2019-08-13
93,11.66421901,2019-08-20
94,12.29853485,2019-08-24
95,12.17735855,2019-08-25
96,11.89039454,2019-09-01
97,13.1371739,2019-09-05
98,13.02907556,2019-09-06
99,13.2920306,2019-09-13
100,14.75626948,2019-09-17
101,14.72027343,2019-09-18
102,15.91911277,2019-09-29
103,16.16356014,2019-09-30
104,16.2740953,2019-10-11
105,16.37758752,2019-10-12
106,16.07960919,2019-10-23
107,16.20041415,2019-10-24
108,15.6825814,2019-10-31
109,16.11162078,2019-11-04
110,16.24049496,2019-11-05
111,15.98328174,2019-11-10
112,15.72282812,2019-11-12
113,15.91856882,2019-11-16
114,16.10785932,2019-11-17
115,16.16893159,2019-11-22
116,15.85037661,2019-11-28
117,16.32347963,2019-11-29
118,16.35182624,2019-12-04
119,15.73248576,2019-12-10
120,16.42191462,2019-12-11
121,16.45363193,2019-12-16
122,15.26874067,2019-12-22
123,16.43776268,2019-12-23
124,16.57988592,2019-12-28
125,15.58771576,2020-01-04
126,16.07976471,2020-01-09
127,16.05342143,2020-01-15
128,16.39149608,2020-01-16
129,15.8723108,2020-01-21
130,15.89371244,2020-01-27
131,15.52604455,2020-01-28
132,15.7819431,2020-02-02
133,15.57647302,2020-02-14
134,15.06878144,2020-02-20
135,15.56634689,2020-02-21
136,14.63959512,2020-03-03
137,13.68261961,2020-03-04
138,14.78376868,2020-03-09
139,13.98925266,2020-03-15
140,13.32712737,2020-03-16
141,13.86924832,2020-03-21
142,13.85861305,2020-03-27
143,14.63546799,2020-03-28
144,13.67463757,2020-04-02
145,12.73270982,2020-04-08
146,12.40691702,2020-04-09
147,12.53793629,2020-04-14
148,12.47453456,2020-04-20
149,12.71987487,2020-04-26
150,12.39951824,2020-05-02
151,11.84356872,2020-05-08
152,11.83396369,2020-05-10
153,12.00520976,2020-05-14
154,10.69665237,2020-05-20
155,11.01992983,2020-05-22
156,10.63455937,2020-05-26
157,10.73530533,2020-06-01
158,10.11964209,2020-06-03
159,10.83848137,2020-06-13
160,10.71604787,2020-06-20
161,10.15038754,2020-06-25
162,10.27080396,2020-07-01
163,10.69187225,2020-07-02
164,10.34549513,2020-07-07
165,10.20429056,2020-07-09
166,10.44093057,2020-07-13
167,10.93298249,2020-07-14
168,10.28059032,2020-07-19
169,9.793697455,2020-07-21
170,10.13344381,2020-07-25
171,10.71517991,2020-07-26
172,10.19009874,2020-07-31
173,10.66792062,2020-08-06
174,10.72441009,2020-08-07
175,10.91127348,2020-08-12
176,10.98919175,2020-08-18
177,10.94547009,2020-08-19
178,11.05087374,2020-08-24
179,11.01375617,2020-08-30
180,11.14522601,2020-08-31
181,11.0595043,2020-09-05
182,11.0236418,2020-09-11
183,11.23630426,2020-09-12
184,11.34557903,2020-09-17
185,10.94175521,2020-09-19
186,11.49959542,2020-09-23
187,11.83637442,2020-09-24
188,11.70556062,2020-09-29
189,11.63924534,2020-10-01
190,11.91567378,2020-10-05
191,12.12801202,2020-10-06
192,12.44238787,2020-10-11
193,13.23385525,2020-10-17
194,13.31731756,2020-10-18
195,13.5833759,2020-10-23
196,13.09563192,2020-10-25
197,14.09444821,2020-10-29
198,14.19313229,2020-10-30
199,14.37739805,2020-11-04
200,15.00733012,2020-11-10
201,15.61419253,2020-11-16
202,16.09062154,2020-11-22
203,15.80251035,2020-11-28
204,15.41993155,2020-12-04
205,15.89734601,2020-12-05
206,16.18774654,2020-12-10
207,15.91828402,2020-12-16
208,15.92477625,2020-12-17
209,15.97902008,2020-12-22
210,16.28758557,2020-12-28
211,16.02028868,2020-12-29
212,15.98427015,2021-01-03
213,16.11280095,2021-01-10
214,15.82649796,2021-01-15
215,15.52451866,2021-01-21
216,15.96130337,2021-01-22
217,15.63530207,2021-01-27
218,15.75403571,2021-02-02
219,15.52825708,2021-02-03
220,15.02130114,2021-02-14
221,15.69670113,2021-02-15
222,15.26552811,2021-02-20
223,15.06735259,2021-02-26
224,14.81072506,2021-02-27
225,14.71942238,2021-03-04
226,14.57458424,2021-03-10
227,14.03621044,2021-03-16
228,13.77263652,2021-03-22
229,14.15698079,2021-03-23
230,13.5260172,2021-03-28
231,13.75522735,2021-03-30
232,13.37839703,2021-04-03
233,13.20657401,2021-04-09
234,12.88762624,2021-04-15
235,13.80631476,2021-04-16
236,12.20880481,2021-04-21
237,11.96005247,2021-04-23
238,12.49498339,2021-04-27
239,13.2522514,2021-04-28
240,12.29065352,2021-05-03
241,12.24384976,2021-05-09
242,13.26792716,2021-05-10
243,12.09978718,2021-05-15
244,12.81685189,2021-05-22
245,11.57439497,2021-05-27
246,11.66546258,2021-06-02
247,12.11767506,2021-06-03
248,11.30681765,2021-06-08
249,10.48381656,2021-06-10
250,10.97695021,2021-06-14
251,11.53267992,2021-06-15
252,10.39964943,2021-06-20
253,9.723776805,2021-06-22
254,9.712075562,2021-06-26
255,9.958225369,2021-06-27
256,9.41431804,2021-07-02
257,9.308351465,2021-07-08
258,10.0132067,2021-07-09
259,9.397763884,2021-07-14
260,9.405656978,2021-07-20
261,9.958676102,2021-07-21
262,8.882374941,2021-07-26
263,8.545651628,2021-08-01
264,9.358126744,2021-08-02
265,7.915718048,2021-08-07
266,7.260489124,2021-08-09
267,7.675941744,2021-08-13
268,7.883737972,2021-08-14
269,8.197743739,2021-08-21
270,8.516427409,2021-08-25
271,9.102668687,2021-08-26
272,8.899735386,2021-08-31
273,8.976722808,2021-09-02
274,9.53796124,2021-09-06
275,10.00235183,2021-09-07
276,11.10459511,2021-09-12
277,11.17303352,2021-09-14
278,11.53036343,2021-09-18
279,11.73307788,2021-09-19
280,11.94885275,2021-09-24
281,10.52528208,2021-09-26
282,12.58374785,2021-09-30
283,12.99248993,2021-10-01
284,13.51093908,2021-10-06
285,12.62222808,2021-10-08
286,14.57927081,2021-10-12
287,14.71355462,2021-10-13
288,15.78059599,2021-10-18
289,15.64954861,2021-10-24
290,16.05287227,2021-10-25
291,15.93039564,2021-10-30
292,15.8898732,2021-11-17
293,15.33208438,2021-11-18
294,15.98971103,2021-11-23
295,16.00622585,2021-11-29
296,16.22052687,2021-11-30
297,16.17243395,2021-12-05
298,16.48198545,2021-12-12
299,16.34884243,2021-12-17
300,16.33727551,2021-12-19
301,15.30666533,2021-12-23
302,16.45784947,2021-12-24
303,16.36339547,2022-01-04
304,16.26333711,2022-01-05
305,16.17732971,2022-01-17
306,16.05628852,2022-01-24
307,16.91554843,2022-01-28
308,16.60404964,2022-01-29
310,16.77687385,2022-02-09
311,16.38816016,2022-02-10
313,15.53841636,2022-03-05
314,16.173314,2022-03-06
